epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.0679,1.86414,5.0187,0.00484,0.67924,0.57697,0.62099,0.33389,1.75774,2.2196,0.00548,0.000551457,0.000551457,0.000551457
2,126.914,1.87294,2.45687,0.0047,0.69615,0.62258,0.66361,0.35961,1.79406,1.18887,0.00577,0.00109982,0.00109982,0.00109982
3,169.702,1.8682,1.597,0.00471,0.70127,0.64154,0.69821,0.37875,1.81501,1.14001,0.00596,0.00164084,0.00164084,0.00164084
4,212.712,1.90835,1.32686,0.00488,0.7312,0.67276,0.7212,0.39243,1.78843,1.05088,0.00592,0.00163399,0.00163399,0.00163399
5,255.467,1.8892,1.21136,0.00473,0.76954,0.6804,0.74867,0.41295,1.77917,0.99021,0.00558,0.00162299,0.00162299,0.00162299
6,298.941,1.85371,1.15448,0.00465,0.75522,0.69631,0.74822,0.39635,1.78184,1.04516,0.00576,0.00161199,0.00161199,0.00161199
7,341.824,1.83381,1.09691,0.00453,0.75708,0.70516,0.75885,0.40349,1.81014,0.97837,0.00566,0.00160099,0.00160099,0.00160099
8,384.616,1.80079,1.06988,0.00448,0.78546,0.68764,0.76492,0.42702,1.75393,0.94565,0.00546,0.00158998,0.00158998,0.00158998
9,426.536,1.79169,1.05684,0.00444,0.79395,0.69915,0.76978,0.42894,1.72253,0.93574,0.00543,0.00157898,0.00157898,0.00157898
10,469.816,1.78974,1.05141,0.00448,0.82212,0.72706,0.79714,0.45322,1.71282,0.89235,0.00533,0.00156798,0.00156798,0.00156798
11,512.517,1.75868,0.99926,0.00429,0.79909,0.72522,0.78715,0.44101,1.7145,0.88091,0.0053,0.00155698,0.00155698,0.00155698
12,555.442,1.76346,0.97294,0.00427,0.81446,0.73844,0.80043,0.4501,1.70891,0.87433,0.0055,0.00154598,0.00154598,0.00154598
13,598.66,1.77036,0.97754,0.00439,0.74892,0.72899,0.76836,0.4279,1.72995,0.9882,0.00534,0.00153497,0.00153497,0.00153497
14,641.778,1.76457,0.93305,0.00431,0.8193,0.73475,0.7979,0.44871,1.72587,0.84187,0.00536,0.00152397,0.00152397,0.00152397
15,684.453,1.73793,0.93691,0.00412,0.83336,0.74278,0.82017,0.46472,1.69081,0.81243,0.00537,0.00151297,0.00151297,0.00151297
16,727.054,1.73668,0.92618,0.00422,0.82849,0.73789,0.82285,0.47559,1.67759,0.80922,0.0053,0.00150197,0.00150197,0.00150197
17,769.973,1.71457,0.92653,0.00409,0.81826,0.75004,0.80532,0.45566,1.69293,0.84776,0.00526,0.00149096,0.00149096,0.00149096
18,812.636,1.73264,0.94357,0.00412,0.81313,0.75778,0.81332,0.46151,1.7027,0.81642,0.00537,0.00147996,0.00147996,0.00147996
19,855.79,1.70572,0.9062,0.00421,0.84464,0.74726,0.8254,0.47278,1.66709,0.81096,0.00515,0.00146896,0.00146896,0.00146896
20,898.655,1.71536,0.90352,0.00409,0.82006,0.76398,0.82407,0.47784,1.62701,0.81787,0.0051,0.00145796,0.00145796,0.00145796
21,941.947,1.70473,0.87647,0.00409,0.81432,0.76657,0.82209,0.46216,1.68889,0.81883,0.0052,0.00144696,0.00144696,0.00144696
22,984.295,1.69195,0.87135,0.00401,0.84651,0.75208,0.8324,0.48495,1.64891,0.77635,0.00518,0.00143595,0.00143595,0.00143595
23,1027.58,1.68599,0.84136,0.00395,0.82411,0.73845,0.81053,0.47099,1.67295,0.81192,0.00508,0.00142495,0.00142495,0.00142495
24,1070.76,1.69393,0.86056,0.00401,0.84414,0.76027,0.83487,0.48278,1.65165,0.77506,0.00505,0.00141395,0.00141395,0.00141395
25,1114.18,1.72319,0.86702,0.00398,0.84019,0.77026,0.84372,0.49106,1.63777,0.75637,0.00497,0.00140295,0.00140295,0.00140295
26,1157.7,1.68436,0.85547,0.004,0.83849,0.76723,0.83731,0.48288,1.6363,0.75833,0.00496,0.00139195,0.00139195,0.00139195
27,1200.85,1.70286,0.86905,0.004,0.8491,0.77402,0.8414,0.49086,1.63389,0.76963,0.00504,0.00138094,0.00138094,0.00138094
28,1244.1,1.67073,0.84276,0.00395,0.85575,0.75336,0.83512,0.49106,1.61729,0.79151,0.00497,0.00136994,0.00136994,0.00136994
29,1287.57,1.65573,0.83487,0.004,0.86247,0.77683,0.84947,0.48822,1.6482,0.75982,0.00497,0.00135894,0.00135894,0.00135894
30,1330.39,1.67671,0.83608,0.00388,0.84896,0.76852,0.84051,0.48039,1.6691,0.75647,0.00503,0.00134794,0.00134794,0.00134794
